"Time","VI","VTI","FB","PETO2","PETCO2"
388.22625,-8.388249397,-0.791372538,10.75750732,102.1136475,42.22119141
397.03125,-7.596016884,-1.230975628,6.814310074,100.872963,43.33655167
406.18625,-9.315443993,-1.15902555,6.553795815,100.0458298,43.63684464
413.18625,-7.820150375,-1.086801887,8.571428299,101.2865219,42.62872696
421.32375,-6.893742561,-1.06060791,7.373271942,101.0797348,42.7145195
433.90125,-7.770591259,-1.445100784,4.770423412,99.83904266,44.36611557
445.06125,-10.56285095,-1.445329905,5.376344204,100.0458298,43.74409103
455.42375,-9.848057747,-1.824292302,5.790108681,103.7679138,41.68495941
463.29375,-11.8900156,-1.29173696,7.623888016,103.7679138,42.02814865
468.46375,-8.270804405,-1.02452302,11.60541534,106.2492981,40.46235275
477.36375,-9.686469078,-1.226835966,6.741572857,103.7679138,41.81365585
485.13625,-11.46546078,-1.254801393,7.719523907,104.8018188,41.53481674
492.19125,-9.273015976,-1.348147154,8.504606247,105.6289597,41.29887009
499.05125,-9.992462158,-1.060214758,8.74635601,103.9746857,42.37133408
504.40375,-9.087654114,-0.891410887,11.20971489,104.3882446,41.53481674
511.28125,-9.330094337,-1.041672349,8.724100113,102.7339935,42.7145195
516.39625,-7.224642754,-0.795390546,11.73020554,103.1475601,41.53481674
525.37625,-10.82776642,-1.081288218,6.681514263,101.2865219,42.95046616
532.53875,NA,-1.292564631,8.376963615,101.9068604,42.34988785
535.66125,-2.864274502,-0.838640094,NA,NA,NA
542.99875,-9.430395126,-0.350276798,8.177174568,99.83904266,43.8298912
551.39375,-11.03155327,-1.319469452,7.147111416,100.4593887,43.40089798
561.93875,-9.732922554,-1.938795567,5.689900398,106.4560852,41.25597382
570.88125,NA,-1.450610995,6.709533215,106.8696442,41.51336288
573.75125,-6.403436661,NA,NA,105.2153854,42.77887344
585.25375,-9.040440559,-1.227592111,5.216257572,103.1475601,43.61539078
594.92875,-6.27274847,-1.457770944,6.201550484,104.1814728,42.7145195
606.30875,-6.267168522,-1.189731359,5.272407532,97.35765839,42.86466599
616.91125,-6.321966648,-1.107460856,5.659042835,95.70339203,43.63684464
628.89375,-7.554664612,-1.2625494,5.007302284,94.66947174,44.044384
640.60375,-6.17276907,-1.47441864,5.123826027,94.87625885,43.29365158
652.64625,-6.561800957,-1.238926172,4.982354164,94.25591278,43.91567993
664.94375,-8.716664314,-1.34489584,4.879040241,94.25591278,43.37944794
674.88125,-6.589846134,-1.443697453,6.037735939,95.28983307,42.67161942
686.26625,-7.426832199,-1.250423312,5.27009201,95.08304596,43.2507515
695.78875,-8.177843094,-1.178700089,6.300866604,94.04912567,43.46524429
704.60875,-7.01589489,-1.202142954,6.802721024,95.08304596,43.01481247
714.58625,-8.03149128,-1.166684866,6.013530254,94.66947174,42.65017319
723.71125,-5.717262745,-1.221455932,6.575342655,95.28983307,42.8217659
735.37625,-6.772657394,-1.111531138,5.143591881,93.01522064,43.76553726
746.21625,-9.669476509,-1.223593473,5.535055161,92.39487457,43.74409103
756.06875,-7.181305408,-1.587808609,6.089825153,94.66947174,42.5000267
763.60875,-7.863428116,-0.90245074,7.957559586,94.66947174,42.52148056
772.32875,-7.210422516,-1.142818213,6.880733967,93.84234619,43.31510544
781.14125,-8.610234261,-1.059030771,6.80851078,93.22200775,43.2507515
