Time,RRI,SpO2,SBP,DBP,MAP,HR,CO,SV,TPR
3118.2713,0.9165,95.7797395,111.53125,66.46875,81.82783517,62.10459137,6991.97168,107,15.0384
3119.1878,0.8278,95.78455318,105.84375,64.21875,79.03334516,72.48117828,7027.140625,97,15.143
3120.0156,0.7359,95.79288117,105.78125,63.4375,78.91569719,81.5345459,7230.789063,88.78125,14.6677
3120.7515,0.6953,95.78982544,109.46875,64.90625,82.33639706,81.5345459,7592.177246,88.65625,13.9174
3121.4468,0.69125,95.79334313,114.46875,68.21875,87.05682324,86.29312897,7004.324219,80.71875,13.0738
3122.13805,0.7225,95.79241133,119.53125,72.46875,92.08362067,83.04695892,6846.131836,82.375,11.5643
3122.86055,1.0942,95.79460593,127.3125,76.0625,92.73250591,54.83427811,4840.393066,88.15625,10.8088
3123.95475,0.99185,95.78950478,NA,70.71875,94.79660514,54.83427811,5688.845215,94.6875,11.2445
3124.9466,0.9907,95.78802236,125.75,73.15625,91.95874334,60.4934845,5955.880859,98.28125,14.64
3125.9373,0.9737,95.66944387,121.6875,71.46875,88.57383162,60.5634079,6564.037598,106.46875,13.0775
3126.911,0.9468,94.77836198,117.25,69.1875,85.26004849,63.37276077,8204,129.53125,13.7744
3127.8578,0.813,94.77359317,109.71875,65.4375,81.42491544,73.79857635,7833.995605,106.1875,14.374
3128.6708,0.73265,94.77326742,102.25,64.15625,77.71343957,81.89599609,8212.223633,100.40625,14.4797
3129.40345,0.68605,94.77853291,106.21875,63.25,79.40526802,87.45413208,8069.884766,92.40625,14.148
3130.0895,0.68315,94.79751656,111.03125,64.40625,83.61607869,87.45413208,7604.763184,86.5625,12.8825
3130.77265,0.86205,94.79530806,121.03125,70.40625,89.09751062,69.60417175,5117.472656,73.5,11.9633
3131.6347,0.98645,94.7963911,125.78125,69.4375,89.4667664,69.60417175,5103.217285,83.1875,10.3777
3132.62115,0.9861,94.79137987,123.5625,67.9375,87.49173204,60.84563828,5726.068848,94.09375,11.6122
3133.60725,0.97455,94.78514603,120.96875,67.46875,85.7060677,60.84563828,6414.463867,105,12.286
3134.5818,0.9441,94.77873107,116.9375,66.6875,83.20064771,61.56838989,7579.07959,119.4375,12.7038
3135.5259,0.87655,94.77781323,110.6875,64.21875,79.14812757,68.44985962,7781.722168,113.71875,13.1198
3136.40245,0.79915,94.7783172,100.5625,61.28125,74.48198731,68.44985962,7970.061035,106.03125,13.3119
3137.2016,0.7148,94.78608527,103.8125,59.9375,75.69911033,75.08035278,8186.867676,97.15625,13.3875
